college_name,link,college_type,facilities,contact_no,Email_id,Website,address
"InternationalSchoolofManagementStudies(ISMS),pune",https://www.collegedekho.com/colleges/international-school-of-management-studies-pune,Private, Boys Hostel   Computer Lab   Girls Hostel   Gym   Library   Cls. Room   WiFi   Seminar Hall   Recreation Room   Cafeteria   ,+91-7350151515 +91-8796151515,info@ismspune.in,www.ismspune.in,"S.No 9/1/1, Near Singhgad College Campus, Wadgaon Budruk, Ambegaon, Pune 411044"
"ArmedForcesMedicalCollege(AFMC),pune",https://www.collegedekho.com/colleges/afmc,Public, Auditorium   Boys Hostel   Canteen   Computer Lab   Girls Hostel   Gym   Hospital   Library   Medical Facilities   Cls. Room   Sports   Cafeteria    Laboratories   Hostel  ,02026363301,trgoffr.afmc@nic.in,http://www.afmc.nic.in/,"Opposite Race Course, Pune-Solapur Road, Pune, Maharashtra 411013"
"SymbiosisInstituteofDesign(SID),pune",https://www.collegedekho.com/colleges/symbiosis-institute-of-design,Private, Math Lab   Academic Zone   A/C   AV Lab   Auditorium   Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Fest   Cultural zone   Education Festival   Planning lab   Free Laptop   Girls Hostel   Guest house   Gym   Gymkhana   Hospital   Mess   International Center   Theatre   Library   Medical Facilities   Cls. Room   Placement   Sports   Grounds   Club   Trans.   Seminar Hall   Workshops   Bed   Mattress   Table   Chair   Hostel  ,      ,admissions@sid.edu.in,http://www.sid.edu.in/,"S No. 231/4A, Viman Nagar, Viman Nagar, Pune, Maharashtra, India- 411014"
"SymbiosisInstituteofMedia&Communication(SIMC),pune",https://www.collegedekho.com/colleges/simc,Private, Academic Zone   A/C   AV Lab   Auditorium   ATM   Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Library   Medical Facilities   Cls. Room   Music   Placement   Sports   WiFi   Cafeteria    Hostel  ,  39116100,admissions@simc.edu,http://simc.edu/,"Symbiosis Knowledge Village,rnGram: Lavale, Taluka: Mulshi, Pune - 412 115rnMaharashtra, India."
"ILSLawCollege(ILSLC),pune",https://www.collegedekho.com/colleges/ils-law-college,Private, A/C   Auditorium   Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Girls Hostel   Gym   Mess   International Center   Theatre   Library   Medical Facilities   Cls. Room   Placement   Sports   Swimming Pool   WiFi   Cafeteria    Hostel  ,+91-020-25656775,ilslaw@vsnl.com,http://www.ilslaw.edu/,"Law College Road (Chiplunkar Road),rnPune 411004, Maharashtra State, India."
"FergussonCollege,pune",https://www.collegedekho.com/colleges/fergusson-college,Private, Auditorium   Boys Hostel   Canteen   Computer Lab   Girls Hostel   Gym   Library   Cls. Room   Sports   Cafeteria    Laboratories   Hostel  ,020-67656000,principal@fergusson.edu,http://www.fergusson.edu,"Fergusson College, F.C. Road, Pune 411004"
"SadhanaCentreforManagementandLeadershipDevelopment(SCMLD),pune",https://www.collegedekho.com/colleges/scmld,Private, Canteen   Computer Lab   Counselling   Cultural zone   Theatre   Library   Medical Facilities   Cls. Room   Placement   Sports   Grounds   Practical Labs   Trans.   WiFi  ,  65200482  9552590074,info@scmld.org,http://www.scmld.org,"392 A,Mahale Plot, Deep Bungalow - Vetal Chowk Road, Model Colony P.O., Pune-411016."
"SymbiosisCollegeofArtsandCommerce(SCAC),pune",https://www.collegedekho.com/colleges/symbiosis-college-of-arts-and-commerce,Private, Math Lab   Academic Zone   A/C   AV Lab   Auditorium   ATM   Boys Hostel   Canteen   Computer Lab   CSC   Convo. Hall   Gym   Library   Medical Facilities   Sports   Cafeteria    Laboratories   Hostel  ,+91-20-25653903,contact@symbiosiscollege.edu.in,http://www.symbiosiscollege.edu.in,"['Senapati Bapat Road', ' Pune - 411 004', ' Maharashtra', ' India']"
"FilmandTelevisionInstituteofIndia(FTII),pune",https://www.collegedekho.com/colleges/ftii-film-and-television-institute-of-india, , Auditorium   Computer Lab   Gym   Library   Medical Facilities   Cls. Room   Sports   Cafeteria    Laboratories   Hostel  ,   25431817 25433016 25430017,multimedia@ftiindia.com,http://www.ftiindia.com/,"Law College Road, Pune - 411 004, (Maharashtra) INDIA"
"PoonaCollegeofPharmacy(BVPCP),pune",https://www.collegedekho.com/colleges/poona-college-of-pharmacy,Private, Academic Zone   AV Lab   Auditorium   Boys Hostel   Canteen   Computer Lab   CSC   Convo. Hall   Counselling   Girls Hostel   Gym   Gymkhana   Hospital   Mess   Theatre   Library   Medical Facilities   Cls. Room   Placement   Sports   R&D   Trans.   WiFi   Cafeteria    Laboratories  ,+91-02025461046,pcp@bharatividyapeeth.edu,http://pcp.bharatividyapeeth.edu/,"Poona College of Pharmacy,Bharati Vidyapeeth Educational Complex, Erandwane, Paud road,Pune 411038, Maharashtra, India"
"SinhgadLawCollege(SLC),pune",https://www.collegedekho.com/colleges/sinhgad-law-college,Private, Auditorium   ATM   Boys Hostel   Canteen   Computer Lab   Cultural zone   Girls Hostel   Gym   Library   Medical Facilities   Cls. Room   Placement   Sports   Shopping   Seminar Hall   Conference Room   Cafeteria    Laboratories   Hostel  ,020-24350595,principal_slc@sinhgad.edu,http://www.sinhgad.edu/SINHGAD-LAW-COLLEGE/,"S.No.10/1 Near Maharashtra Bank Wadgaon Campus, Ambegaon BK, Pune, Maharashtra 411041"
"BharatiVidyapeethNewLawCollege(BVNLC),pune",https://www.collegedekho.com/colleges/new-law-college-kolhapur,Private, Auditorium   Library   Medical Facilities   Cls. Room   Placement   Sports   WiFi   Conference Room   Hostel  , 25444616 25455854,newlawcollege@yahoo.co.in,www.bvpnlcpune.org,"Bharati Vidhyapeeth University's New Law College Educational Complex, Erandwane, Paud Road, Pune - 411038 Maharashtra, India"
"Maeer'sMITInstituteofDesign(MITID),pune",https://www.collegedekho.com/colleges/mitid,Private, Boys Hostel   Computer Lab   Planning lab   Girls Hostel   Gym   Theatre   Library   Placement   Sports   Swimming Pool   Workshops   Studio  ,+91-20-30693694,admissions@mitid.edu.in,www.mitid.edu.in,"Maeer's MIT Institute of Design, Rajbaug, Loni Kalbhor, Pune, Maharashtra, India-412201"
"BrihanMaharashtraCollegeofCommerce(BMCCPUNE),pune",https://www.collegedekho.com/colleges/bmcc-pune,Private, Math Lab   Academic Zone   AV Lab   Auditorium   Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Fest   Cultural zone   Digi sign   Education Festival   Free Laptop   Girls Hostel   Gym   Library   Medical Facilities   Cls. Room   Sports   Cafeteria    Laboratories  ,2030866200,bmccpune04@gmail.com,http://www.bmcc.ac.in/Home.aspx,"['845', ' Shivajinagar', ' Pune 411004. Maharashtra. INDIA.']"
"COLLEGEOFENGINEERING,PUNE(COE),pune",https://www.collegedekho.com/colleges/college-of-engineering-pune-2,Private, Auditorium   Computer Lab   Convo. Hall   Counselling   Library   Medical Facilities   Cls. Room   Placement   Sports   Grounds   Trans.   WiFi   Seminar Hall   Power Backup   Cafeteria    Laboratories   Hostel  ,+91-20-25507000,director@coep.ac.in,www.coep.org.in,"Wellesley Rd, Shivajinagar, Pune, Maharashtra 411005"
"SymbiosisInstituteofManagementStudies(SIMS),pune",https://www.collegedekho.com/colleges/sims-pune,Private, A/C   Auditorium   Boys Hostel   Canteen   Computer Lab   Counselling   Gym   Library   Medical Facilities   Placement   Sports   Trans.   Cafeteria    Laboratories   Hostel  , 30213250,info@sims.edu,http://sims.edu/,"Range Hills Road, KhadkirnPune u2013 411020"
"DepartmentofCommunicationandJournalism(DCJ),pune",https://www.collegedekho.com/colleges/department-of-communication-and-journalism,Public, Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Library   Medical Facilities   Cls. Room   Placement   Trans.   WiFi  ,+91-020-2565 ,head.dcj@gmail.com,http://www.unipune.ac.in/dept/mental_moral_and_social_science/communication_journalism/cj_webfiles/academic.htm,"Ranade Institute Building, Fergusson College Road, Pune, Maharashtra, India- 411005"
"M.E.S.AbasahebGarwareCollege(MESAGC),pune",https://www.collegedekho.com/colleges/abasaheb-garware-college,Private, Auditorium   ATM   Canteen   Computer Lab   Gym   Gymkhana   Library   Medical Facilities   Cls. Room   Placement   Sports   Chair   Cafeteria    Laboratories   Hostel  ,020-41038200,agccomp@eth.net,http://mesgarwarecollege.org,"Maharashtra Education Society's Abasaheb Garware College, Karve Road, Pune - 411004"
"SymbiosisCentreforInformationTechnology(SCITPUNE),pune",https://www.collegedekho.com/colleges/scit-pune,Private, Academic Zone   Auditorium   ATM   Boys Hostel   Canteen   Computer Lab   Gym   Mess   Theatre   Library   Medical Facilities   Cls. Room   Music   Placement   Sports   Grounds   Residential Institute   Residential Zone   Residential Faculty Zone   Swimming Pool   Trans.   Cafeteria    Hostel  ,         ,admission@scit.edu,http://www.scit.edu,"Plot 15, Phase-I, Rajiv Gandhi InfoTech Park, Hinjewadi, Pune, Maharashtra, India-411057"
"AllIndiaShriShivajiMemorialSociety'S,CollegeOfHotelManagement&CateringTechnology(AISSMSCHMCT),pune",https://www.collegedekho.com/colleges/all-india-shri-shivaji-memorial-societys-college-of-hotel-management-and-catering-technology-maharashtra,Private, Auditorium   Canteen   Mess   Library   Cls. Room   Sports   Grounds   Trans.  ,  25520488   25511655,info@aissmschmct.in,http://aissmschmct.in,"55-56, Shivaji Nagar, Pune u2013 411 005, Maharashtra (INDIA)"
"SymbiosisInstituteofInternationalBusiness(SIIBPune),pune",https://www.collegedekho.com/colleges/siib,Private, Academic Zone   Auditorium   Boys Hostel   Canteen   Computer Lab   Girls Hostel   Gym   Theatre   Library   Medical Facilities   Cls. Room   Sports   Cafeteria    Hostel  ,+91-8378990822,director@siib.ac.in,http://www.siib.ac.in/,"G. No. 174/1, Hinjewadi, Taluka - Mulshi,Dist. Pune u2013 411 057Maharashtra, India."
"M.A.RangoonwalaInstituteofHotelManagement&Research(MARIHMR),pune",https://www.collegedekho.com/colleges/marangoonwala-institute-of-hotel-management-research,Private, Auditorium   Gym   Library   Medical Facilities   Cls. Room   Sports   WiFi   Cafeteria   ,020-26442261,info@marhotelmanagement.com,http://www.marhotelmanagement.com/,"2390-B.K, B Hidayatullah Road , Azam Campus, Camp, Pune, Maharashtra, India- 411001"
"SinhgadInstituteofHotelManagementCateringTechnology(SIHMCT),pune",https://www.collegedekho.com/colleges/sinhgad-institute-of-hotel-management-catering-technology,Private, Boys Hostel   CSC   Cultural zone   Planning lab   Gym   Mess   Library   Placement   post off.   Residential Institute   Residential Zone   Residential Faculty Zone   Shopping   Swimming Pool  ,  ,principal.sihmct@sinhgad.edu,http://www.sinhgad.edu/SinhgadInstitutes-HMI/,"Gat No. 309/310, Kusgaon (Bk) , Lonavala Off Mumbai-Pune Expressway Taluka: Mawal, Dist Pune-410 401."
"NessWadiaCollegeofCommerce(NWCC),pune",https://www.collegedekho.com/colleges/ness-wadia-college-of-commerce,Private, Auditorium   Boys Hostel   Canteen   Computer Lab   Counselling   Girls Hostel   Gym   Mess   Theatre   Library   Medical Facilities   Cls. Room   Music   Placement   Sports   Hostel  ,+91-020-2616702,nesswadiacollege@gmail.com,http://nesswadiacollege.edu.in/,"19, Late Prin. V. K. Joag Path, Pune - 411 001. Maharashtra State (India)"
